ID,TARGET
24,-5.916732493252934
28,-4.067130958708846
29,-3.9944560066633676
33,-6.694449854963203
58,-1.1064989680630282
71,-7.537752448457431
86,-4.271741514039272
88,-5.8129574518250875
89,-6.706502438401494
107,-8.16800314208564
108,-0.9645994622194588
109,-9.684883702304298
110,-6.002914589316584
113,-7.698532600449864
114,-4.120532342527049
115,-4.796745140263106
120,-5.604612067078961
136,-0.7619191472819917
147,-5.52359097450885
150,-6.822657605015541
158,-5.453799236184255
164,-3.9493130921709296
167,-1.017839020908121
169,-3.6738375903913414
174,-6.84789171264739
183,-9.63222685571481
184,-3.160208199690111
185,-1.3616368277243298
189,-7.3547309422763325
192,-6.366172419360245
195,-8.924257547348523
208,-4.234456878130435
209,-8.573362896290009
217,-1.5988642003027262
219,-2.4523834511467486
221,-10.506223902850516
223,-8.09432779600244
227,-5.213903175291897
229,-9.400667948307044
243,-2.8723997311195824
251,-7.746718923515922
257,-6.6268642877981145
258,-3.600533632875976
262,-5.685616135130671
265,-4.295684931446221
274,-9.430779240070224
286,-3.7391203806338256
310,-5.518757732248531
311,-7.042807266415506
317,-0.11002454781613424
323,-0.9899407975245706
327,-4.245610301560622
330,-8.076572413057606
334,-7.436153188842705
343,-7.64659535397706
346,-0.8406447192835035
350,-7.37894171511613
352,-3.60877230013675
357,-6.344842314402123
373,-8.827820943243978
384,-6.124294008533213
388,-8.507085892931784
391,-5.301659605502945
399,-4.270875214317015
406,-5.172378489345537
412,-6.566470768891526
413,-1.5737285995651984
441,-8.382459277866252
445,-4.161713355078832
460,-4.248260470146146
467,-0.22493492196935527
470,-8.684910772162203
474,-4.087163702651459
478,-4.713906959155572
480,-6.882922203118807
482,-9.194115224788463
491,-5.595511622508714
494,-5.336838740715371
495,-6.829634996807599
503,-1.9659926007601476
504,-1.3285275100324323
507,-6.729662414484878
512,0.6989249348792282
514,-7.897597092965801
516,-1.0840271690906047
517,-8.474167863717096
523,-4.234924555384347
524,-6.943808342959996
533,-6.135509238834995
549,-8.268309297951122
559,-5.915051581291872
566,-8.840646389535129
570,-9.097944261494215
582,-8.601178532649493
586,-9.245340306738578
590,-2.5062521679190044
593,-5.021024301800987
612,-7.527569353702025
615,-2.1175564592311535
633,-8.611263812082004
642,-3.7541772361856465
644,-0.42254774897024994
646,-6.177315342838604
655,-11.85606950376449
666,-3.981738213244146
673,-6.0300366814997055
685,-8.288178658071782
702,-4.672016498976397
707,-6.476951598664956
723,-10.030293328745126
728,-12.043547553464384
729,-5.324971850745355
732,-7.189584708501315
735,-1.9844436822693854
740,-2.066252157034694
742,-4.205041645480168
747,-3.1979569532800456
750,-6.595050890089431
